,bid,ask,last,openinterest,type,expiration,strike,underlying,underlying_last,quotedate,implied_vol,delta,gamma,vega,theta,rho,ticker,event_date,day_to_event
2015-10-21,982.0,1045.0,956.1,0.0,put,2016-01-21,6200,AS51,5248.305,2015-10-21,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,56
2015-10-22,947.0,977.0,963.3,0.0,put,2016-01-21,6200,AS51,5263.844,2015-10-22,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,55
2015-10-23,831.0,881.0,872.8,0.0,put,2016-01-21,6200,AS51,5351.565,2015-10-23,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,54
2015-10-26,812.0,877.0,863.6,0.0,put,2016-01-21,6200,AS51,5347.993,2015-10-26,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,51
2015-10-27,836.0,883.0,850.3,0.0,put,2016-01-21,6200,AS51,5346.151999999999,2015-10-27,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,50
2015-10-28,842.0,890.0,889.9,0.0,put,2016-01-21,6200,AS51,5335.223000000001,2015-10-28,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,49
2015-10-29,888.0,950.0,955.4,0.0,put,2016-01-21,6200,AS51,5266.857,2015-10-29,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,48
2015-10-30,965.0,1028.0,961.4,0.0,put,2016-01-21,6200,AS51,5239.439,2015-10-30,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,47
2015-11-02,1033.0,1072.0,1065.6,0.0,put,2016-01-21,6200,AS51,5165.751,2015-11-02,0.2005806770135532,-0.9654721991951087,0.00011913360544926638,1.3976146286016427,-0.4998808276056545,-13.266825158277989,AS51 01-21-16 P6200 Index,2015-12-16,44
2015-11-03,958.0,1021.0,968.4,0.0,put,2016-01-21,6200,AS51,5239.215999999999,2015-11-03,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,43
2015-11-04,903.0,967.0,979.6,0.0,put,2016-01-21,6200,AS51,5242.293,2015-11-04,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,42
2015-11-05,1001.0,1077.0,1010.6,0.0,put,2016-01-21,6200,AS51,5192.971,2015-11-05,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,41
2015-11-06,964.0,1024.0,975.5,0.0,put,2016-01-21,6200,AS51,5215.008,2015-11-06,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,40
2015-11-09,1023.0,1099.0,1079.5,0.0,put,2016-01-21,6200,AS51,5119.494000000001,2015-11-09,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,37
2015-11-10,1097.0,1173.0,1119.9,0.0,put,2016-01-21,6200,AS51,5099.233,2015-11-10,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,36
2015-11-11,1040.0,1113.0,1067.7,0.0,put,2016-01-21,6200,AS51,5122.624,2015-11-11,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,35
2015-11-12,1033.0,1109.0,1064.2,0.0,put,2016-01-21,6200,AS51,5125.692,2015-11-12,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,34
2015-11-13,1116.0,1193.0,1161.5,0.0,put,2016-01-21,6200,AS51,5051.255,2015-11-13,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,33
2015-11-16,1154.0,1224.0,1201.8,0.0,put,2016-01-21,6200,AS51,5003.818,2015-11-16,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,30
2015-11-17,1084.0,1158.0,1073.0,0.0,put,2016-01-21,6200,AS51,5118.2429999999995,2015-11-17,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,29
2015-11-18,1046.0,1122.0,1065.3,0.0,put,2016-01-21,6200,AS51,5133.113,2015-11-18,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,28
2015-11-19,953.0,1016.0,941.1,0.0,put,2016-01-21,6200,AS51,5242.566,2015-11-19,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,27
2015-11-20,899.0,958.0,930.8,0.0,put,2016-01-21,6200,AS51,5256.144,2015-11-20,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,26
2015-11-23,881.0,943.0,911.7,0.0,put,2016-01-21,6200,AS51,5276.422,2015-11-23,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,23
2015-11-24,906.0,969.0,966.0,0.0,put,2016-01-21,6200,AS51,5226.389,2015-11-24,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,22
2015-11-25,965.0,1027.0,990.9,0.0,put,2016-01-21,6200,AS51,5193.681,2015-11-25,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,21
2015-11-26,923.0,988.0,973.5,0.0,put,2016-01-21,6200,AS51,5210.697,2015-11-26,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,20
2015-11-27,946.0,1011.0,991.0,0.0,put,2016-01-21,6200,AS51,5202.584,2015-11-27,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,19
2015-11-30,962.0,1042.0,1011.0,0.0,put,2016-01-21,6200,AS51,5166.518,2015-11-30,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,16
2015-12-01,910.0,925.0,933.3,0.0,put,2016-01-21,6200,AS51,5266.139,2015-12-01,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,15
2015-12-02,894.0,959.0,919.4,0.0,put,2016-01-21,6200,AS51,5258.339,2015-12-02,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,14
2015-12-03,959.0,968.0,966.3,0.0,put,2016-01-21,6200,AS51,5227.717000000001,2015-12-03,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,13
2015-12-04,1020.0,1100.0,1041.2,0.0,put,2016-01-21,6200,AS51,5151.607,2015-12-04,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,12
2015-12-07,998.0,1078.0,1048.7,0.0,put,2016-01-21,6200,AS51,5155.697,2015-12-07,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,9
2015-12-08,1020.0,1100.0,1087.3,0.0,put,2016-01-21,6200,AS51,5108.605,2015-12-08,,,,,,,AS51 01-21-16 P6200 Index,2015-12-16,8
